dataset,cutoff,balanced_acc
Training,0,74.99196286845225
Training,0.5,83.59957687894435
Training,1,89.18593683936643
LOOCV,0,72.00432665581653
LOOCV,0.5,78.64015572858733
LOOCV,1,84.80570975416336
10-fold CV,0,71.05192656740809
10-fold CV,0.5,78.20796671311054
10-fold CV,1,85.30612244897958
