"set","auc","ci_low","ci_high"
"LOOCV OOF",0.802048798783714,0.776337570417396,0.827760027150032
"10-fold CV OOF",0.798706356701293,0.790528610194813,0.806884103207773
"External validation",0.727574750830565,0.689532756038936,0.765616745622194
