label,p_value,FDR,p_signif
Pancreatic cancer,2.90837854788507e-05,2.90837854788507e-05,***
Periodontitis,3.18978822226067e-09,6.37957644452135e-09,***
Colorectal polyps,4.83266975484934e-07,6.44355967313246e-07,***
Colorectal cancer,3.02689440864271e-13,1.21075776345709e-12,***
