stratum,n_healthy,n_disease,auc,ci_low,ci_high,sensitivity_at_OMWI0,specificity_at_OMWI0,balanced_accuracy_at_OMWI0,color,legend_label
Male,365,220,0.747110834371108,0.708156288916563,0.784015877957659,0.909090909090909,0.432876712328767,0.670983810709838,#4DBBD5,Male: AUC 0.75 (0.71-0.78)
Female,496,305,0.758011634056055,0.723835107086198,0.791067061078794,0.80327868852459,0.580645161290323,0.691961924907456,#3C5488,Female: AUC 0.76 (0.72-0.79)
