study_use,n_total,n_healthy,n_disease,cohort_type
BelstromD_2021,78,36,42,Mixed
BritoIL_2016,115,115,0,Healthy-only
CaselliE_2020,54,54,0,Healthy-only
ChenQB_2024,90,19,71,Mixed
KartalE_2022,44,17,27,Mixed
Koohi-MoghadamM_2024,20,11,9,Mixed
LassalleF_2017,24,24,0,Healthy-only
NagataN_2022,282,235,47,Mixed
PlachokovaA_2021,7,0,7,Disease-only
ShalonD_2023,29,29,0,Healthy-only
SunBY_2021,18,6,12,Mixed
