external_study,cohort_type,type_tag,n_total,n_healthy,n_disease,n_correct,metric_name,facet_group,metric,ci_lower,ci_upper,model_type,omitted_training_study,input_taxa_n,retained_taxa_n,lambda_1se
BritoIL_2016,Healthy-only,H-only,115,115,0,14,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.121739130434783,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
CaselliE_2020,Healthy-only,H-only,54,54,0,44,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.814814814814815,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.627131208302446,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.311546840958606,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.939393939393939,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
LassalleF_2017,Healthy-only,H-only,24,24,0,0,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.579900407424174,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
PlachokovaA_2021,Disease-only,D-only,7,0,7,7,Disease CCR,Single-class cohorts: expected-direction classification rate,1,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
ShalonD_2023,Healthy-only,H-only,29,29,0,13,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.448275862068966,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.847222222222222,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.815476190476191,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
BritoIL_2016,Healthy-only,H-only,115,115,0,15,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.130434782608696,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
CaselliE_2020,Healthy-only,H-only,54,54,0,42,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.777777777777778,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.653817642698295,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.34640522875817,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.96969696969697,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
LassalleF_2017,Healthy-only,H-only,24,24,0,0,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.599909461294704,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
PlachokovaA_2021,Disease-only,D-only,7,0,7,6,Disease CCR,Single-class cohorts: expected-direction classification rate,0.857142857142857,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
ShalonD_2023,Healthy-only,H-only,29,29,0,13,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.448275862068966,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.930555555555556,,,LODO models,ZhuJY_2023,154,53,0.0365080575001467
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.845238095238095,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
BritoIL_2016,Healthy-only,H-only,115,115,0,29,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.252173913043478,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
CaselliE_2020,Healthy-only,H-only,54,54,0,34,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.62962962962963,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.552260934025204,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.363834422657952,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.898989898989899,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
LassalleF_2017,Healthy-only,H-only,24,24,0,3,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.125,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.613580805794477,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
PlachokovaA_2021,Disease-only,D-only,7,0,7,7,Disease CCR,Single-class cohorts: expected-direction classification rate,1,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
ShalonD_2023,Healthy-only,H-only,29,29,0,15,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.517241379310345,,,LODO models,ChenLW_2022,187,75,0.0290436741442366
