row_name,ChenQB_2024,NagataN_2022,BelstromD_2021,KartalE_2022,SunBY_2021,Koohi-MoghadamM_2024,PlachokovaA_2021
LODO_BostanciN_2021,0.957746478873239,0.808510638297872,0.880952380952381,0.851851851851852,0.833333333333333,1,1
LODO_CuiJ_2019,0.943661971830986,0.808510638297872,0.857142857142857,0.925925925925926,0.833333333333333,1,0.857142857142857
LODO_ZhangDY_2015,0.957746478873239,0.723404255319149,0.880952380952381,0.851851851851852,0.916666666666667,1,0.857142857142857
LODO_ZhuJY_2023,0.985915492957746,0.808510638297872,0.857142857142857,0.925925925925926,0.916666666666667,1,0.857142857142857
LODO_ZellerG_2014,0.957746478873239,0.829787234042553,0.857142857142857,0.777777777777778,0.916666666666667,0.888888888888889,1
LODO_BuschartA_2016,0.943661971830986,0.659574468085106,0.833333333333333,0.777777777777778,0.916666666666667,1,0.857142857142857
LODO_VQuintanaL_2024,0.985915492957746,0.808510638297872,0.880952380952381,0.851851851851852,0.833333333333333,1,1
LODO_BelstromD_2017,0.971830985915493,0.787234042553192,0.857142857142857,0.851851851851852,0.916666666666667,1,0.857142857142857
LODO_LiYJ_2023,0.985915492957746,0.872340425531915,0.880952380952381,0.851851851851852,0.916666666666667,1,1
LODO_Castro-NallarE_2015,0.971830985915493,0.787234042553192,0.80952380952381,0.851851851851852,0.833333333333333,1,0.857142857142857
Average,0.966197183098592,0.78936170212766,0.85952380952381,0.851851851851852,0.883333333333333,0.988888888888889,0.914285714285714
