row_name,BostanciN_2021,CuiJ_2019,ZhangDY_2015,ZellerG_2014,BuschartA_2016,VQuintanaL_2024,BelstromD_2017,LiYJ_2023,Castro-NallarE_2015,Row average
BostanciN_2021,0.566609977324263,0.544886363636364,0.539007092198582,0.506493506493507,0.430555555555556,0.575892857142857,0.56,0.466666666666667,0.722222222222222,0.543215532989469
CuiJ_2019,0.608560090702948,0.841477272727273,0.56709219858156,0.327561327561328,0.716666666666667,0.258928571428571,0.61,0.511111111111111,0.541666666666667,0.517698329089857
ZhangDY_2015,0.575396825396825,0.623295454545455,0.77645390070922,0.632034632034632,0.525,0.630952380952381,0.6,0.488888888888889,0.638888888888889,0.589307133838384
ZellerG_2014,0.477607709750567,0.496875,0.418156028368794,0.835497835497835,0.308333333333333,0.763392857142857,0.68,0.866666666666667,0.597222222222222,0.576031727185555
BuschartA_2016,0.441043083900227,0.458806818181818,0.625815602836879,0.474747474747475,0.786111111111111,0.224702380952381,0.47,0.633333333333333,0.361111111111111,0.461194975632903
VQuintanaL_2024,0.489512471655329,0.465625,0.415035460992908,0.660894660894661,0.391666666666667,0.793154761904762,0.79,0.655555555555556,0.527777777777778,0.549508449192862
BelstromD_2017,0.470521541950113,0.479829545454546,0.436028368794326,0.746031746031746,0.525,0.611607142857143,0.52,0.733333333333333,0.333333333333333,0.541960626469318
LiYJ_2023,0.503401360544218,0.468181818181818,0.619574468085106,0.606060606060606,0.427777777777778,0.849702380952381,0.57,0.911111111111111,0.625,0.583712301450238
Castro-NallarE_2015,0.57171201814059,0.5,0.5,0.556998556998557,0.5,0.553571428571429,0.5,0.5,0.4375,0.522785250463822
Column average,0.517219387755102,0.5046875,0.51508865248227,0.563852813852814,0.478125,0.55859375,0.5975,0.606944444444444,0.543402777777778,0.542823814034712
LODO,0.49234693877551,0.669318181818182,0.628652482269504,0.666666666666667,0.427777777777778,0.754464285714286,0.72,0.711111111111111,0.5,0.618926382681449
