holdout_study,n_train,n_train_healthy,n_train_disease,n_test,n_test_healthy,n_test_disease,input_taxa_n,retained_taxa_n,lambda_1se,tuning_measure,inner_folds,auc,status
BostanciN_2021,951,345,606,154,126,28,204,88,0.0273840048366932,auc,10,0.49234693877551,OK
CuiJ_2019,977,431,546,128,40,88,161,43,0.039552392828638,auc,10,0.669318181818182,OK
ZhangDY_2015,983,424,559,122,47,75,149,49,0.0347572685692149,auc,10,0.628652482269504,OK
ZellerG_2014,1051,450,601,54,21,33,175,56,0.0338894306012811,auc,10,0.666666666666667,OK
BuschartA_2016,1052,463,589,53,8,45,176,63,0.0334160085492126,auc,10,0.427777777777778,OK
VQuintanaL_2024,1052,450,602,53,21,32,172,54,0.0376583410242086,auc,10,0.754464285714286,OK
BelstromD_2017,1085,461,624,20,10,10,173,50,0.0382041014657715,auc,10,0.72,OK
LiYJ_2023,1086,461,625,19,10,9,173,46,0.041493508380993,auc,10,0.711111111111111,OK
Castro-NallarE_2015,1087,465,622,18,6,12,177,50,0.0351797697246408,auc,10,0.5,OK
