training_study,testing_study,analysis_type,n_train,n_train_healthy,n_train_disease,n_test,n_test_healthy,n_test_disease,auc,status,input_taxa_n,retained_taxa_n,lambda_1se,tuning_measure,inner_folds
BuschartA_2016,Castro-NallarE_2015,single-cohort cross-study prediction,53,8,45,18,6,12,0.361111111111111,OK,140,23,0.0549075348742641,auc,8
VQuintanaL_2024,BostanciN_2021,single-cohort cross-study prediction,53,21,32,154,126,28,0.489512471655329,OK,212,14,0.253358247326145,auc,10
VQuintanaL_2024,CuiJ_2019,single-cohort cross-study prediction,53,21,32,128,40,88,0.465625,OK,212,3,0.403417977768478,auc,10
VQuintanaL_2024,ZhangDY_2015,single-cohort cross-study prediction,53,21,32,122,47,75,0.415035460992908,OK,212,9,0.319701848270039,auc,10
VQuintanaL_2024,ZellerG_2014,single-cohort cross-study prediction,53,21,32,54,21,33,0.660894660894661,OK,212,7,0.350872383802217,auc,10
VQuintanaL_2024,BuschartA_2016,single-cohort cross-study prediction,53,21,32,53,8,45,0.391666666666667,OK,212,9,0.305170905858102,auc,10
VQuintanaL_2024,VQuintanaL_2024,within-study nested CV,53,21,32,53,21,32,0.793154761904762,OK,,,,,
VQuintanaL_2024,BelstromD_2017,single-cohort cross-study prediction,53,21,32,20,10,10,0.79,OK,212,11,0.291300417204945,auc,10
VQuintanaL_2024,LiYJ_2023,single-cohort cross-study prediction,53,21,32,19,10,9,0.655555555555556,OK,212,2,0.442750732578609,auc,10
VQuintanaL_2024,Castro-NallarE_2015,single-cohort cross-study prediction,53,21,32,18,6,12,0.527777777777778,OK,212,18,0.23085059891828,auc,10
BelstromD_2017,BostanciN_2021,single-cohort cross-study prediction,20,10,10,154,126,28,0.470521541950113,OK,155,7,0.29410083615758,auc,4
BelstromD_2017,CuiJ_2019,single-cohort cross-study prediction,20,10,10,128,40,88,0.479829545454546,OK,155,7,0.3381444937245,auc,4
BelstromD_2017,ZhangDY_2015,single-cohort cross-study prediction,20,10,10,122,47,75,0.436028368794326,OK,155,16,0.121522830188741,auc,4
BelstromD_2017,ZellerG_2014,single-cohort cross-study prediction,20,10,10,54,21,33,0.746031746031746,OK,155,7,0.308104668867293,auc,4
BelstromD_2017,BuschartA_2016,single-cohort cross-study prediction,20,10,10,53,8,45,0.525,OK,155,7,0.407296239810174,auc,4
BelstromD_2017,VQuintanaL_2024,single-cohort cross-study prediction,20,10,10,53,21,32,0.611607142857143,OK,155,7,0.3381444937245,auc,4
BelstromD_2017,BelstromD_2017,within-study nested CV,20,10,10,20,10,10,0.52,OK,,,,,
BelstromD_2017,LiYJ_2023,single-cohort cross-study prediction,20,10,10,19,10,9,0.733333333333333,OK,155,7,0.38878399711497,auc,4
BelstromD_2017,Castro-NallarE_2015,single-cohort cross-study prediction,20,10,10,18,6,12,0.333333333333333,OK,155,7,0.26797372844921,auc,4
LiYJ_2023,BostanciN_2021,single-cohort cross-study prediction,19,10,9,154,126,28,0.503401360544218,OK,339,25,0.134630957426652,auc,3
LiYJ_2023,CuiJ_2019,single-cohort cross-study prediction,19,10,9,128,40,88,0.468181818181818,OK,339,16,0.341338549248734,auc,3
LiYJ_2023,ZhangDY_2015,single-cohort cross-study prediction,19,10,9,122,47,75,0.619574468085106,OK,339,32,0.0420818117487188,auc,3
LiYJ_2023,ZellerG_2014,single-cohort cross-study prediction,19,10,9,54,21,33,0.606060606060606,OK,339,25,0.128511772630515,auc,3
LiYJ_2023,BuschartA_2016,single-cohort cross-study prediction,19,10,9,53,8,45,0.427777777777778,OK,339,32,0.0190835903682378,auc,3
LiYJ_2023,VQuintanaL_2024,single-cohort cross-study prediction,19,10,9,53,21,32,0.849702380952381,OK,339,27,0.0927958966779129,auc,3
LiYJ_2023,BelstromD_2017,single-cohort cross-study prediction,19,10,9,20,10,10,0.57,OK,339,27,0.0807091385826376,auc,3
LiYJ_2023,LiYJ_2023,within-study nested CV,19,10,9,19,10,9,0.911111111111111,OK,,,,,
LiYJ_2023,Castro-NallarE_2015,single-cohort cross-study prediction,19,10,9,18,6,12,0.625,OK,339,17,0.325824185384569,auc,3
Castro-NallarE_2015,BostanciN_2021,single-cohort cross-study prediction,18,6,12,154,126,28,0.57171201814059,OK,120,3,0.438337830714571,auc,3
Castro-NallarE_2015,CuiJ_2019,single-cohort cross-study prediction,18,6,12,128,40,88,0.5,OK,120,0,0.63595313950418,auc,3
Castro-NallarE_2015,ZhangDY_2015,single-cohort cross-study prediction,18,6,12,122,47,75,0.5,OK,120,0,0.63595313950418,auc,3
Castro-NallarE_2015,ZellerG_2014,single-cohort cross-study prediction,18,6,12,54,21,33,0.556998556998557,OK,120,2,0.579456815350927,auc,3
Castro-NallarE_2015,BuschartA_2016,single-cohort cross-study prediction,18,6,12,53,8,45,0.5,OK,120,0,0.63595313950418,auc,3
Castro-NallarE_2015,VQuintanaL_2024,single-cohort cross-study prediction,18,6,12,53,21,32,0.553571428571429,OK,120,3,0.527979468925055,auc,3
Castro-NallarE_2015,BelstromD_2017,single-cohort cross-study prediction,18,6,12,20,10,10,0.5,OK,120,0,0.63595313950418,auc,3
Castro-NallarE_2015,LiYJ_2023,single-cohort cross-study prediction,18,6,12,19,10,9,0.5,OK,120,0,0.63595313950418,auc,3
Castro-NallarE_2015,Castro-NallarE_2015,within-study nested CV,18,6,12,18,6,12,0.4375,OK,,,,,
