panel_group,group,OR,CI_low,CI_high,p_value,n_case,n_healthy_in_model,healthy_ref_n,healthy_ref_mean,healthy_ref_sd
Colorectal,Colorectal polyps,2.53040215886136,1.46173674670946,4.74003472368246,0.00177127231024045,30,40,40,-0.406050580480471,0.91718733720513
Colorectal,Colorectal cancer,3.19213489226788,1.96072923249141,5.62592527182753,1.34009511225319e-05,52,40,40,-0.406050580480471,0.91718733720513
Gastric,Sup./Atr. gastritis,2.72189724035824,1.76975916671463,4.54161550648978,2.64259988553915e-05,55,40,40,-0.367741927013975,0.602891432821956
Gastric,Intestinal metaplasia,4.94707487635468,2.50890249315277,12.2869522944662,5.79025148716598e-05,23,40,40,-0.367741927013975,0.602891432821956
RA,RA low/mod,1.94300808621213,1.22863882284473,3.33369822031809,0.00838506151102403,26,47,47,-0.145159267038372,0.558288960642735
RA,RA high,4.64898773527716,2.64898438749465,9.31505807653927,1.34911217320004e-06,48,47,47,-0.145159267038372,0.558288960642735
