n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value,repeat_id
1105,471,634,0.382165605095541,0.840694006309148,0.611429805702345,,balanced_accuracy,0.611429805702345,1
1105,471,634,0.37791932059448,0.839116719242902,0.608518019918691,,balanced_accuracy,0.608518019918691,2
1105,471,634,0.403397027600849,0.840694006309148,0.622045516954999,,balanced_accuracy,0.622045516954999,3
1105,471,634,0.360934182590234,0.837539432176656,0.599236807383445,,balanced_accuracy,0.599236807383445,4
1105,471,634,0.392781316348195,0.832807570977918,0.612794443663057,,balanced_accuracy,0.612794443663057,5
1105,471,634,0.386411889596603,0.858044164037855,0.622228026817229,,balanced_accuracy,0.622228026817229,6
1105,471,634,0.371549893842887,0.84384858044164,0.607699237142264,,balanced_accuracy,0.607699237142264,7
1105,471,634,0.373673036093418,0.848580441640379,0.611126738866898,,balanced_accuracy,0.611126738866898,8
1105,471,634,0.392781316348195,0.839116719242902,0.615949017795549,,balanced_accuracy,0.615949017795549,9
1105,471,634,0.399150743099788,0.842271293375394,0.620711018237591,,balanced_accuracy,0.620711018237591,10
