n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value,repeat_id
1105,471,634,0.43099787685775,0.809148264984227,0.620073070920988,,balanced_accuracy,0.620073070920988,1
1105,471,634,0.437367303609342,0.82018927444795,0.628778289028646,,balanced_accuracy,0.628778289028646,2
1105,471,634,0.424628450106157,0.829652996845426,0.627140723475792,,balanced_accuracy,0.627140723475792,3
1105,471,634,0.437367303609342,0.82018927444795,0.628778289028646,,balanced_accuracy,0.628778289028646,4
1105,471,634,0.443736730360934,0.82807570977918,0.635906220070057,,balanced_accuracy,0.635906220070057,5
1105,471,634,0.428874734607219,0.824921135646688,0.626897935126953,,balanced_accuracy,0.626897935126953,6
1105,471,634,0.428874734607219,0.82018927444795,0.624532004527584,,balanced_accuracy,0.624532004527584,7
1105,471,634,0.428874734607219,0.82807570977918,0.628475222193199,,balanced_accuracy,0.628475222193199,8
1105,471,634,0.437367303609342,0.82018927444795,0.628778289028646,,balanced_accuracy,0.628778289028646,9
1105,471,634,0.435244161358811,0.804416403785489,0.61983028257215,,balanced_accuracy,0.61983028257215,10
