n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value,repeat_id
1105,471,634,0.592356687898089,0.839116719242902,0.715736703570496,,balanced_accuracy,0.715736703570496,1
1105,471,634,0.602972399150743,0.83596214511041,0.719467272130577,,balanced_accuracy,0.719467272130577,2
1105,471,634,0.598726114649682,0.831230283911672,0.714978199280677,,balanced_accuracy,0.714978199280677,3
1105,471,634,0.575371549893843,0.842271293375394,0.708821421634619,,balanced_accuracy,0.708821421634619,4
1105,471,634,0.598726114649682,0.842271293375394,0.720498704012538,,balanced_accuracy,0.720498704012538,5
1105,471,634,0.579617834394905,0.839116719242902,0.709367276818903,,balanced_accuracy,0.709367276818903,6
1105,471,634,0.59447983014862,0.818611987381703,0.706545908765162,,balanced_accuracy,0.706545908765162,7
1105,471,634,0.600849256900212,0.823343848580442,0.712096552740327,,balanced_accuracy,0.712096552740327,8
1105,471,634,0.581740976645435,0.834384858044164,0.7080629173448,,balanced_accuracy,0.7080629173448,9
1105,471,634,0.596602972399151,0.82807570977918,0.712339341089165,,balanced_accuracy,0.712339341089165,10
