n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value,repeat_id
1105,471,634,0.208067940552017,0.869085173501577,0.538576557026797,,balanced_accuracy,0.538576557026797,1
1105,471,634,0.218683651804671,0.872239747634069,0.54546169971937,,balanced_accuracy,0.54546169971937,2
1105,471,634,0.197452229299363,0.870662460567823,0.534057344933593,,balanced_accuracy,0.534057344933593,3
1105,471,634,0.182590233545648,0.884858044164038,0.533724138854843,,balanced_accuracy,0.533724138854843,4
1105,471,634,0.212314225053079,0.865930599369085,0.539122412211082,,balanced_accuracy,0.539122412211082,5
1105,471,634,0.201698513800425,0.884858044164038,0.543278278982231,,balanced_accuracy,0.543278278982231,6
1105,471,634,0.256900212314225,0.856466876971609,0.556683544642917,,balanced_accuracy,0.556683544642917,7
1105,471,634,0.263269639065817,0.853312302839117,0.558290970952467,,balanced_accuracy,0.558290970952467,8
1105,471,634,0.214437367303609,0.883280757097792,0.548859062200701,,balanced_accuracy,0.548859062200701,9
1105,471,634,0.239915074309979,0.861198738170347,0.550556906240163,,balanced_accuracy,0.550556906240163,10
