n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value,repeat_id
1105,471,634,0.437367303609342,0.859621451104101,0.648494377356721,,balanced_accuracy,0.648494377356721,1
1105,471,634,0.447983014861996,0.856466876971609,0.652224945916802,,balanced_accuracy,0.652224945916802,2
1105,471,634,0.443736730360934,0.851735015772871,0.647735873066903,,balanced_accuracy,0.647735873066903,3
1105,471,634,0.435244161358811,0.845425867507886,0.640335014433349,,balanced_accuracy,0.640335014433349,4
1105,471,634,0.464968152866242,0.840694006309148,0.652831079587695,,balanced_accuracy,0.652831079587695,5
1105,471,634,0.428874734607219,0.851735015772871,0.640304875190045,,balanced_accuracy,0.640304875190045,6
1105,471,634,0.447983014861996,0.856466876971609,0.652224945916802,,balanced_accuracy,0.652224945916802,7
1105,471,634,0.450106157112527,0.854889589905363,0.652497873508945,,balanced_accuracy,0.652497873508945,8
1105,471,634,0.43312101910828,0.845425867507886,0.639273443308083,,balanced_accuracy,0.639273443308083,9
1105,471,634,0.441613588110403,0.847003154574133,0.644308371342268,,balanced_accuracy,0.644308371342268,10
