n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value,repeat_id
1105,471,634,0.590233545647558,0.818611987381703,0.704422766514631,,balanced_accuracy,0.704422766514631,1
1105,471,634,0.600849256900212,0.817034700315458,0.708941978607835,,balanced_accuracy,0.708941978607835,2
1105,471,634,0.598726114649682,0.807570977917981,0.703148546283831,,balanced_accuracy,0.703148546283831,3
1105,471,634,0.59447983014862,0.824921135646688,0.709700482897654,,balanced_accuracy,0.709700482897654,4
1105,471,634,0.605095541401274,0.82018927444795,0.712642407924612,,balanced_accuracy,0.712642407924612,5
1105,471,634,0.615711252653928,0.824921135646688,0.720316194150308,,balanced_accuracy,0.720316194150308,6
1105,471,634,0.598726114649682,0.821766561514196,0.710246338081939,,balanced_accuracy,0.710246338081939,7
1105,471,634,0.598726114649682,0.82018927444795,0.709457694548816,,balanced_accuracy,0.709457694548816,8
1105,471,634,0.590233545647558,0.807570977917981,0.69890226178277,,balanced_accuracy,0.69890226178277,9
1105,471,634,0.583864118895966,0.818611987381703,0.701238053138835,,balanced_accuracy,0.701238053138835,10
