set,n_total,n_healthy,n_disease,auc,ci_lower,ci_upper,auc_ci
Training,1105,471,634,0.848751230685768,0.826288734645961,0.871213726725576,0.85 (0.83–0.87)
External validation,761,546,215,0.727574750830565,0.689532756038936,0.765616745622194,0.73 (0.69–0.77)
