body_site,PCoA1,PCoA2,n
Dental,0.34856852355149,-0.0280395579227829,851
Saliva,-0.136357458168219,0.01449996360121,1301
Tongue,-0.243034999174154,0.101172518456002,307
Pharyngeal swab,-0.170415889635286,-0.115976779646602,242
Oral rinse,-0.225224695150763,0.133575243706597,15
