study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.01,18,6,12,0.486111111111111,70,26
ZhangDY_2015,0.5,0.01,122,47,75,0.483687943262411,69,29
BuschartA_2016,0.5,0.01,53,8,45,0.588888888888889,70,27
VQuintanaL_2024,0.5,0.01,53,21,32,0.837797619047619,70,23
BelstromD_2017,0.5,0.01,20,10,10,0.78,70,32
BostanciN_2021,0.5,0.01,154,126,28,0.547902494331066,70,24
CuiJ_2019,0.5,0.01,128,40,88,0.554829545454545,70,35
LiYJ_2023,0.5,0.01,19,10,9,0.455555555555556,70,26
ZhuJY_2023,0.5,0.01,74,73,1,0.589041095890411,70,24
ZellerG_2014,0.5,0.01,54,21,33,0.516594516594517,70,30
