study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.1,0.2,0.583333333333333,263,98,18,6,12,0.333333333333333,0.666666666666667,0.5,,balanced_accuracy,0.5
ZhangDY_2015,0.1,0.2,0.644822695035461,231,86,122,47,75,0.340425531914894,0.8,0.570212765957447,,balanced_accuracy,0.570212765957447
ChenBY_2023,0.1,0.2,,255,110,56,0,56,,0.678571428571429,,0.678571428571429,single_class_accuracy,0.678571428571429
BuschartA_2016,0.1,0.2,0.602777777777778,268,96,53,8,45,0.375,0.444444444444444,0.409722222222222,,balanced_accuracy,0.409722222222222
VQuintanaL_2024,0.1,0.2,0.779761904761905,261,80,53,21,32,0.380952380952381,0.90625,0.643601190476191,,balanced_accuracy,0.643601190476191
ArmstrongA_2021,0.1,0.2,,262,88,13,13,0,0.0769230769230769,,,0.0769230769230769,single_class_accuracy,0.0769230769230769
BelstromD_2017,0.1,0.2,0.81,266,110,20,10,10,0.9,0.5,0.7,,balanced_accuracy,0.7
BostanciN_2021,0.1,0.2,0.488945578231293,287,131,154,126,28,0.206349206349206,0.821428571428571,0.513888888888889,,balanced_accuracy,0.513888888888889
ChenLW_2022,0.1,0.2,,277,113,61,61,0,0.295081967213115,,,0.295081967213115,single_class_accuracy,0.295081967213115
CuiJ_2019,0.1,0.2,0.601704545454545,247,91,128,40,88,0.075,0.897727272727273,0.486363636363636,,balanced_accuracy,0.486363636363636
JiangQ_2021,0.1,0.2,,258,103,21,0,21,,0.380952380952381,,0.380952380952381,single_class_accuracy,0.380952380952381
LiYJ_2023,0.1,0.2,0.655555555555556,260,104,19,10,9,0.3,1,0.65,,balanced_accuracy,0.65
preprint_CastilhosJ_2021,0.1,0.2,,292,123,224,0,224,,0.446428571428571,,0.446428571428571,single_class_accuracy,0.446428571428571
ShaiberA_2020,0.1,0.2,,268,93,35,35,0,0.342857142857143,,,0.342857142857143,single_class_accuracy,0.342857142857143
ZhuJY_2023,0.1,0.2,0.876712328767123,241,117,74,73,1,0.356164383561644,1,0.678082191780822,,balanced_accuracy,0.678082191780822
ZellerG_2014,0.1,0.2,0.659451659451659,264,119,54,21,33,0.428571428571429,0.666666666666667,0.547619047619048,,balanced_accuracy,0.547619047619048
