study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.1,18,6,12,0.569444444444445,63,32
ZhangDY_2015,1,0.1,122,47,75,0.572482269503546,58,31
BuschartA_2016,1,0.1,53,8,45,0.583333333333333,64,28
VQuintanaL_2024,1,0.1,53,21,32,0.857142857142857,63,22
BelstromD_2017,1,0.1,20,10,10,0.78,63,35
BostanciN_2021,1,0.1,154,126,28,0.5609410430839,64,28
CuiJ_2019,1,0.1,128,40,88,0.587784090909091,64,46
LiYJ_2023,1,0.1,19,10,9,0.6,63,42
ZhuJY_2023,1,0.1,74,73,1,0.506849315068493,61,29
ZellerG_2014,1,0.1,54,21,33,0.531024531024531,63,39
