study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.3,18,6,12,0.486111111111111,11,7
ZhangDY_2015,0.1,0.3,122,47,75,0.577872340425532,9,3
BuschartA_2016,0.1,0.3,53,8,45,0.55,11,7
VQuintanaL_2024,0.1,0.3,53,21,32,0.596726190476191,11,3
BelstromD_2017,0.1,0.3,20,10,10,0.71,11,5
BostanciN_2021,0.1,0.3,154,126,28,0.582482993197279,11,7
CuiJ_2019,0.1,0.3,128,40,88,0.567045454545455,10,4
LiYJ_2023,0.1,0.3,19,10,9,0.833333333333333,11,3
ZhuJY_2023,0.1,0.3,74,73,1,0.575342465753425,9,4
ZellerG_2014,0.1,0.3,54,21,33,0.585858585858586,11,3
