study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.2,18,6,12,0.597222222222222,263,70
ZhangDY_2015,0.5,0.2,122,47,75,0.657021276595745,231,59
BuschartA_2016,0.5,0.2,53,8,45,0.591666666666667,268,62
VQuintanaL_2024,0.5,0.2,53,21,32,0.748511904761905,261,56
BelstromD_2017,0.5,0.2,20,10,10,0.74,266,80
BostanciN_2021,0.5,0.2,154,126,28,0.524092970521542,287,99
CuiJ_2019,0.5,0.2,128,40,88,0.618465909090909,247,57
LiYJ_2023,0.5,0.2,19,10,9,0.577777777777778,260,82
ZhuJY_2023,0.5,0.2,74,73,1,0.89041095890411,241,85
ZellerG_2014,0.5,0.2,54,21,33,0.650793650793651,264,69
