study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.1,18,6,12,0.569444444444445,392,142
ZhangDY_2015,0.1,0.1,122,47,75,0.63886524822695,361,134
BuschartA_2016,0.1,0.1,53,8,45,0.677777777777778,395,146
VQuintanaL_2024,0.1,0.1,53,21,32,0.839285714285714,390,156
BelstromD_2017,0.1,0.1,20,10,10,0.81,392,142
BostanciN_2021,0.1,0.1,154,126,28,0.53656462585034,408,173
CuiJ_2019,0.1,0.1,128,40,88,0.656534090909091,390,130
LiYJ_2023,0.1,0.1,19,10,9,0.688888888888889,389,147
ZhuJY_2023,0.1,0.1,74,73,1,0.684931506849315,375,157
ZellerG_2014,0.1,0.1,54,21,33,0.672438672438672,393,135
