study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.01,18,6,12,0.472222222222222,14,5
ZhangDY_2015,0.5,0.01,122,47,75,0.52709219858156,14,5
BuschartA_2016,0.5,0.01,53,8,45,0.463888888888889,14,4
VQuintanaL_2024,0.5,0.01,53,21,32,0.608630952380952,14,4
BelstromD_2017,0.5,0.01,20,10,10,0.7,14,5
BostanciN_2021,0.5,0.01,154,126,28,0.577097505668934,14,5
CuiJ_2019,0.5,0.01,128,40,88,0.579261363636364,14,5
LiYJ_2023,0.5,0.01,19,10,9,0.811111111111111,14,4
ZhuJY_2023,0.5,0.01,74,73,1,0.602739726027397,14,4
ZellerG_2014,0.5,0.01,54,21,33,0.574314574314574,14,4
