study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.1,18,6,12,0.583333333333333,413,103
ZhangDY_2015,1,0.1,122,47,75,0.60709219858156,380,111
BuschartA_2016,1,0.1,53,8,45,0.630555555555556,417,112
VQuintanaL_2024,1,0.1,53,21,32,0.811011904761905,411,129
BelstromD_2017,1,0.1,20,10,10,0.78,414,123
BostanciN_2021,1,0.1,154,126,28,0.534863945578231,432,129
CuiJ_2019,1,0.1,128,40,88,0.673011363636364,410,126
LiYJ_2023,1,0.1,19,10,9,0.611111111111111,410,121
ZhuJY_2023,1,0.1,74,73,1,0.547945205479452,396,132
ZellerG_2014,1,0.1,54,21,33,0.603174603174603,414,85
