study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.3,18,6,12,0.555555555555556,76,35
ZhangDY_2015,0.1,0.3,122,47,75,0.543829787234043,63,38
BuschartA_2016,0.1,0.3,53,8,45,0.633333333333333,76,36
VQuintanaL_2024,0.1,0.3,53,21,32,0.671130952380952,73,39
BelstromD_2017,0.1,0.3,20,10,10,0.85,75,30
BostanciN_2021,0.1,0.3,154,126,28,0.532312925170068,82,42
CuiJ_2019,0.1,0.3,128,40,88,0.481818181818182,68,33
LiYJ_2023,0.1,0.3,19,10,9,0.766666666666667,71,31
ZhuJY_2023,0.1,0.3,74,73,1,0.73972602739726,65,33
ZellerG_2014,0.1,0.3,54,21,33,0.597402597402597,75,36
