study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.05,18,6,12,0.513888888888889,59,26
ZhangDY_2015,0.1,0.05,122,47,75,0.47290780141844,53,26
BuschartA_2016,0.1,0.05,53,8,45,0.594444444444445,60,27
VQuintanaL_2024,0.1,0.05,53,21,32,0.848214285714286,59,24
BelstromD_2017,0.1,0.05,20,10,10,0.79,59,28
BostanciN_2021,0.1,0.05,154,126,28,0.556972789115646,60,30
CuiJ_2019,0.1,0.05,128,40,88,0.545738636363636,59,38
LiYJ_2023,0.1,0.05,19,10,9,0.566666666666667,55,28
ZhuJY_2023,0.1,0.05,74,73,1,0.589041095890411,59,31
ZellerG_2014,0.1,0.05,54,21,33,0.567099567099567,59,30
