study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.05,18,6,12,0.5,59,23
ZhangDY_2015,0.5,0.05,122,47,75,0.476879432624114,53,27
BuschartA_2016,0.5,0.05,53,8,45,0.436111111111111,60,25
VQuintanaL_2024,0.5,0.05,53,21,32,0.831845238095238,59,21
BelstromD_2017,0.5,0.05,20,10,10,0.78,59,24
BostanciN_2021,0.5,0.05,154,126,28,0.540532879818594,60,23
CuiJ_2019,0.5,0.05,128,40,88,0.540056818181818,59,39
LiYJ_2023,0.5,0.05,19,10,9,0.477777777777778,55,26
ZhuJY_2023,0.5,0.05,74,73,1,0.561643835616438,59,23
ZellerG_2014,0.5,0.05,54,21,33,0.545454545454545,59,24
