study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.1,18,6,12,0.583333333333333,413,108
ZhangDY_2015,0.5,0.1,122,47,75,0.617021276595745,380,120
BuschartA_2016,0.5,0.1,53,8,45,0.633333333333333,417,131
VQuintanaL_2024,0.5,0.1,53,21,32,0.821428571428571,411,137
BelstromD_2017,0.5,0.1,20,10,10,0.8,414,126
BostanciN_2021,0.5,0.1,154,126,28,0.539115646258503,432,143
CuiJ_2019,0.5,0.1,128,40,88,0.677272727272727,410,131
LiYJ_2023,0.5,0.1,19,10,9,0.611111111111111,410,130
ZhuJY_2023,0.5,0.1,74,73,1,0.589041095890411,396,130
ZellerG_2014,0.5,0.1,54,21,33,0.617604617604618,414,104
