study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.1,0.2,0.597222222222222,101,51,18,6,12,0.166666666666667,0.833333333333333,0.5,,balanced_accuracy,0.5
ZhangDY_2015,0.1,0.2,0.510354609929078,89,52,122,47,75,0.276595744680851,0.746666666666667,0.511631205673759,,balanced_accuracy,0.511631205673759
ChenBY_2023,0.1,0.2,,96,42,56,0,56,,0.803571428571429,,0.803571428571429,single_class_accuracy,0.803571428571429
BuschartA_2016,0.1,0.2,0.627777777777778,102,55,53,8,45,0.25,0.777777777777778,0.513888888888889,,balanced_accuracy,0.513888888888889
VQuintanaL_2024,0.1,0.2,0.723214285714286,103,50,53,21,32,0.428571428571429,0.78125,0.604910714285714,,balanced_accuracy,0.604910714285714
ArmstrongA_2021,0.1,0.2,,101,44,13,13,0,0.0769230769230769,,,0.0769230769230769,single_class_accuracy,0.0769230769230769
BelstromD_2017,0.1,0.2,0.87,102,47,20,10,10,0.7,0.9,0.8,,balanced_accuracy,0.8
BostanciN_2021,0.1,0.2,0.522675736961451,110,68,154,126,28,0.0714285714285714,0.821428571428571,0.446428571428571,,balanced_accuracy,0.446428571428571
ChenLW_2022,0.1,0.2,,104,57,61,61,0,0.180327868852459,,,0.180327868852459,single_class_accuracy,0.180327868852459
CuiJ_2019,0.1,0.2,0.526420454545455,96,56,128,40,88,0.125,0.738636363636364,0.431818181818182,,balanced_accuracy,0.431818181818182
JiangQ_2021,0.1,0.2,,101,53,21,0,21,,0.857142857142857,,0.857142857142857,single_class_accuracy,0.857142857142857
LiYJ_2023,0.1,0.2,0.777777777777778,101,52,19,10,9,0.2,1,0.6,,balanced_accuracy,0.6
preprint_CastilhosJ_2021,0.1,0.2,,110,51,224,0,224,,0.361607142857143,,0.361607142857143,single_class_accuracy,0.361607142857143
ShaiberA_2020,0.1,0.2,,102,49,35,35,0,0.228571428571429,,,0.228571428571429,single_class_accuracy,0.228571428571429
ZhuJY_2023,0.1,0.2,0.808219178082192,95,48,74,73,1,0.0547945205479452,1,0.527397260273973,,balanced_accuracy,0.527397260273973
ZellerG_2014,0.1,0.2,0.567099567099567,102,52,54,21,33,0.0952380952380952,0.878787878787879,0.487012987012987,,balanced_accuracy,0.487012987012987
