study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.01,18,6,12,0.583333333333333,237,37
ZhangDY_2015,0.5,0.01,122,47,75,0.511205673758865,231,60
BuschartA_2016,0.5,0.01,53,8,45,0.558333333333333,239,59
VQuintanaL_2024,0.5,0.01,53,21,32,0.779761904761905,238,60
BelstromD_2017,0.5,0.01,20,10,10,0.83,239,49
BostanciN_2021,0.5,0.01,154,126,28,0.520691609977324,241,29
CuiJ_2019,0.5,0.01,128,40,88,0.647727272727273,239,54
LiYJ_2023,0.5,0.01,19,10,9,0.666666666666667,239,66
ZhuJY_2023,0.5,0.01,74,73,1,0.808219178082192,236,39
ZellerG_2014,0.5,0.01,54,21,33,0.639249639249639,239,61
