study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.5,0.1,0.472222222222222,51,23,18,6,12,0.5,0.75,0.625,,balanced_accuracy,0.625
ZhangDY_2015,0.5,0.1,0.527659574468085,48,27,122,47,75,0.297872340425532,0.693333333333333,0.495602836879433,,balanced_accuracy,0.495602836879433
ChenBY_2023,0.5,0.1,,49,24,56,0,56,,0.875,,0.875,single_class_accuracy,0.875
BuschartA_2016,0.5,0.1,0.555555555555556,52,26,53,8,45,0.125,0.711111111111111,0.418055555555556,,balanced_accuracy,0.418055555555556
VQuintanaL_2024,0.5,0.1,0.84375,51,21,53,21,32,1,0.59375,0.796875,,balanced_accuracy,0.796875
ArmstrongA_2021,0.5,0.1,,51,29,13,13,0,0.0769230769230769,,,0.0769230769230769,single_class_accuracy,0.0769230769230769
BelstromD_2017,0.5,0.1,0.77,51,29,20,10,10,0.3,0.9,0.6,,balanced_accuracy,0.6
BostanciN_2021,0.5,0.1,0.573696145124717,52,28,154,126,28,0.0476190476190476,0.928571428571429,0.488095238095238,,balanced_accuracy,0.488095238095238
ChenLW_2022,0.5,0.1,,52,24,61,61,0,0.147540983606557,,,0.147540983606557,single_class_accuracy,0.147540983606557
CuiJ_2019,0.5,0.1,0.550568181818182,52,35,128,40,88,0.225,0.840909090909091,0.532954545454546,,balanced_accuracy,0.532954545454546
JiangQ_2021,0.5,0.1,,51,31,21,0,21,,0.904761904761905,,0.904761904761905,single_class_accuracy,0.904761904761905
LiYJ_2023,0.5,0.1,0.444444444444444,51,28,19,10,9,0.2,1,0.6,,balanced_accuracy,0.6
preprint_CastilhosJ_2021,0.5,0.1,,52,26,224,0,224,,0.370535714285714,,0.370535714285714,single_class_accuracy,0.370535714285714
ShaiberA_2020,0.5,0.1,,52,34,35,35,0,0.0571428571428571,,,0.0571428571428571,single_class_accuracy,0.0571428571428571
ZhuJY_2023,0.5,0.1,0.506849315068493,49,22,74,73,1,0.136986301369863,1,0.568493150684932,,balanced_accuracy,0.568493150684932
ZellerG_2014,0.5,0.1,0.526695526695527,51,30,54,21,33,0.142857142857143,0.666666666666667,0.404761904761905,,balanced_accuracy,0.404761904761905
