study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.5,0.3,0.541666666666667,191,57,18,6,12,0.333333333333333,0.666666666666667,0.5,,balanced_accuracy,0.5
ZhangDY_2015,0.5,0.3,0.584964539007092,160,47,122,47,75,0.148936170212766,0.866666666666667,0.507801418439716,,balanced_accuracy,0.507801418439716
ChenBY_2023,0.5,0.3,,183,58,56,0,56,,0.696428571428571,,0.696428571428571,single_class_accuracy,0.696428571428571
BuschartA_2016,0.5,0.3,0.580555555555556,191,56,53,8,45,0.5,0.422222222222222,0.461111111111111,,balanced_accuracy,0.461111111111111
VQuintanaL_2024,0.5,0.3,0.748511904761905,186,72,53,21,32,0.285714285714286,0.90625,0.595982142857143,,balanced_accuracy,0.595982142857143
ArmstrongA_2021,0.5,0.3,,188,60,13,13,0,0.230769230769231,,,0.230769230769231,single_class_accuracy,0.230769230769231
BelstromD_2017,0.5,0.3,0.76,187,57,20,10,10,0.6,0.5,0.55,,balanced_accuracy,0.55
BostanciN_2021,0.5,0.3,0.517290249433107,220,113,154,126,28,0.357142857142857,0.607142857142857,0.482142857142857,,balanced_accuracy,0.482142857142857
ChenLW_2022,0.5,0.3,,202,72,61,61,0,0.442622950819672,,,0.442622950819672,single_class_accuracy,0.442622950819672
CuiJ_2019,0.5,0.3,0.661647727272727,175,59,128,40,88,0.075,0.931818181818182,0.503409090909091,,balanced_accuracy,0.503409090909091
JiangQ_2021,0.5,0.3,,184,80,21,0,21,,0.523809523809524,,0.523809523809524,single_class_accuracy,0.523809523809524
LiYJ_2023,0.5,0.3,0.688888888888889,186,58,19,10,9,0.4,1,0.7,,balanced_accuracy,0.7
preprint_CastilhosJ_2021,0.5,0.3,,227,89,224,0,224,,0.473214285714286,,0.473214285714286,single_class_accuracy,0.473214285714286
ShaiberA_2020,0.5,0.3,,189,62,35,35,0,0.457142857142857,,,0.457142857142857,single_class_accuracy,0.457142857142857
ZhuJY_2023,0.5,0.3,0.986301369863014,166,70,74,73,1,0.246575342465753,1,0.623287671232877,,balanced_accuracy,0.623287671232877
ZellerG_2014,0.5,0.3,0.647907647907648,189,74,54,21,33,0.523809523809524,0.606060606060606,0.564935064935065,,balanced_accuracy,0.564935064935065
