study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.2,18,6,12,0.597222222222222,279,110
ZhangDY_2015,0.1,0.2,122,47,75,0.616737588652482,246,85
BuschartA_2016,0.1,0.2,53,8,45,0.608333333333333,284,121
VQuintanaL_2024,0.1,0.2,53,21,32,0.78125,278,119
BelstromD_2017,0.1,0.2,20,10,10,0.88,282,121
BostanciN_2021,0.1,0.2,154,126,28,0.513888888888889,304,151
CuiJ_2019,0.1,0.2,128,40,88,0.617329545454545,263,104
LiYJ_2023,0.1,0.2,19,10,9,0.633333333333333,276,122
ZhuJY_2023,0.1,0.2,74,73,1,0.89041095890411,257,124
ZellerG_2014,0.1,0.2,54,21,33,0.645021645021645,280,122
