study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.05,18,6,12,0.555555555555556,189,65
ZhangDY_2015,0.1,0.05,122,47,75,0.588368794326241,171,77
BuschartA_2016,0.1,0.05,53,8,45,0.527777777777778,190,77
VQuintanaL_2024,0.1,0.05,53,21,32,0.800595238095238,187,80
BelstromD_2017,0.1,0.05,20,10,10,0.84,189,74
BostanciN_2021,0.1,0.05,154,126,28,0.529195011337869,191,51
CuiJ_2019,0.1,0.05,128,40,88,0.628693181818182,188,81
LiYJ_2023,0.1,0.05,19,10,9,0.666666666666667,184,82
ZhuJY_2023,0.1,0.05,74,73,1,0.876712328767123,186,76
ZellerG_2014,0.1,0.05,54,21,33,0.695526695526696,189,78
