study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.3,18,6,12,0.486111111111111,177,46
ZhangDY_2015,1,0.3,122,47,75,0.633475177304965,149,38
BuschartA_2016,1,0.3,53,8,45,0.472222222222222,176,36
VQuintanaL_2024,1,0.3,53,21,32,0.744047619047619,172,41
BelstromD_2017,1,0.3,20,10,10,0.76,173,34
BostanciN_2021,1,0.3,154,126,28,0.476757369614513,204,91
CuiJ_2019,1,0.3,128,40,88,0.659659090909091,161,32
LiYJ_2023,1,0.3,19,10,9,0.7,173,46
ZhuJY_2023,1,0.3,74,73,1,1,154,51
ZellerG_2014,1,0.3,54,21,33,0.665223665223665,175,52
