study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.05,18,6,12,0.625,509,170
ZhangDY_2015,0.5,0.05,122,47,75,0.600567375886525,474,139
BuschartA_2016,0.5,0.05,53,8,45,0.652777777777778,509,148
VQuintanaL_2024,0.5,0.05,53,21,32,0.776785714285714,509,165
BelstromD_2017,0.5,0.05,20,10,10,0.76,510,178
BostanciN_2021,0.5,0.05,154,126,28,0.473639455782313,525,134
CuiJ_2019,0.5,0.05,128,40,88,0.688920454545455,507,149
LiYJ_2023,0.5,0.05,19,10,9,0.588888888888889,503,172
ZhuJY_2023,0.5,0.05,74,73,1,0.547945205479452,501,169
ZellerG_2014,0.5,0.05,54,21,33,0.395382395382395,511,130
