study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.01,18,6,12,0.583333333333333,237,32
ZhangDY_2015,1,0.01,122,47,75,0.520851063829787,231,55
BuschartA_2016,1,0.01,53,8,45,0.563888888888889,239,47
VQuintanaL_2024,1,0.01,53,21,32,0.776785714285714,238,54
BelstromD_2017,1,0.01,20,10,10,0.82,239,42
BostanciN_2021,1,0.01,154,126,28,0.524659863945578,241,26
CuiJ_2019,1,0.01,128,40,88,0.651420454545455,239,47
LiYJ_2023,1,0.01,19,10,9,0.677777777777778,239,59
ZhuJY_2023,1,0.01,74,73,1,0.767123287671233,236,33
ZellerG_2014,1,0.01,54,21,33,0.630591630591631,239,56
