study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.1,18,6,12,0.583333333333333,413,160
ZhangDY_2015,0.1,0.1,122,47,75,0.622411347517731,380,142
BuschartA_2016,0.1,0.1,53,8,45,0.658333333333333,417,180
VQuintanaL_2024,0.1,0.1,53,21,32,0.837797619047619,411,175
BelstromD_2017,0.1,0.1,20,10,10,0.89,414,165
BostanciN_2021,0.1,0.1,154,126,28,0.533446712018141,432,194
CuiJ_2019,0.1,0.1,128,40,88,0.665340909090909,410,165
LiYJ_2023,0.1,0.1,19,10,9,0.677777777777778,410,176
ZhuJY_2023,0.1,0.1,74,73,1,0.547945205479452,396,186
ZellerG_2014,0.1,0.1,54,21,33,0.655122655122655,414,165
