study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.01,18,6,12,0.611111111111111,609,124
ZhangDY_2015,0.5,0.01,122,47,75,0.410780141843972,589,113
BuschartA_2016,0.5,0.01,53,8,45,0.669444444444445,611,125
VQuintanaL_2024,0.5,0.01,53,21,32,0.773809523809524,608,115
BelstromD_2017,0.5,0.01,20,10,10,0.69,612,132
BostanciN_2021,0.5,0.01,154,126,28,0.535147392290249,617,132
CuiJ_2019,0.5,0.01,128,40,88,0.685511363636364,612,115
LiYJ_2023,0.5,0.01,19,10,9,0.588888888888889,611,129
ZhuJY_2023,0.5,0.01,74,73,1,0.520547945205479,598,132
ZellerG_2014,0.5,0.01,54,21,33,0.630591630591631,607,128
