study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.01,18,6,12,0.583333333333333,86,35
ZhangDY_2015,1,0.01,122,47,75,0.526808510638298,86,38
BuschartA_2016,1,0.01,53,8,45,0.572222222222222,87,36
VQuintanaL_2024,1,0.01,53,21,32,0.851190476190476,87,28
BelstromD_2017,1,0.01,20,10,10,0.81,87,40
BostanciN_2021,1,0.01,154,126,28,0.54875283446712,87,27
CuiJ_2019,1,0.01,128,40,88,0.579261363636364,87,51
LiYJ_2023,1,0.01,19,10,9,0.6,87,45
ZhuJY_2023,1,0.01,74,73,1,0.575342465753425,86,36
ZellerG_2014,1,0.01,54,21,33,0.541125541125541,87,46
