study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.1,18,6,12,0.638888888888889,75,25
ZhangDY_2015,1,0.1,122,47,75,0.569078014184397,70,28
BuschartA_2016,1,0.1,53,8,45,0.525,76,29
VQuintanaL_2024,1,0.1,53,21,32,0.818452380952381,75,19
BelstromD_2017,1,0.1,20,10,10,0.82,75,32
BostanciN_2021,1,0.1,154,126,28,0.522108843537415,76,23
CuiJ_2019,1,0.1,128,40,88,0.640056818181818,76,43
LiYJ_2023,1,0.1,19,10,9,0.588888888888889,75,34
ZhuJY_2023,1,0.1,74,73,1,0.520547945205479,72,24
ZellerG_2014,1,0.1,54,21,33,0.526695526695527,75,33
