study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.01,18,6,12,0.472222222222222,14,5
ZhangDY_2015,1,0.01,122,47,75,0.524255319148936,14,5
BuschartA_2016,1,0.01,53,8,45,0.447222222222222,14,4
VQuintanaL_2024,1,0.01,53,21,32,0.626488095238095,14,4
BelstromD_2017,1,0.01,20,10,10,0.71,14,5
BostanciN_2021,1,0.01,154,126,28,0.57171201814059,14,4
CuiJ_2019,1,0.01,128,40,88,0.576704545454545,14,5
LiYJ_2023,1,0.01,19,10,9,0.788888888888889,14,4
ZhuJY_2023,1,0.01,74,73,1,0.602739726027397,14,5
ZellerG_2014,1,0.01,54,21,33,0.575757575757576,14,4
