study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.3,18,6,12,0.541666666666667,76,29
ZhangDY_2015,0.5,0.3,122,47,75,0.525390070921986,63,37
BuschartA_2016,0.5,0.3,53,8,45,0.594444444444445,76,30
VQuintanaL_2024,0.5,0.3,53,21,32,0.703869047619048,73,27
BelstromD_2017,0.5,0.3,20,10,10,0.82,75,26
BostanciN_2021,0.5,0.3,154,126,28,0.578798185941043,82,15
CuiJ_2019,0.5,0.3,128,40,88,0.460511363636364,68,27
LiYJ_2023,0.5,0.3,19,10,9,0.711111111111111,71,25
ZhuJY_2023,0.5,0.3,74,73,1,0.684931506849315,65,22
ZellerG_2014,0.5,0.3,54,21,33,0.613275613275613,75,26
