study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.01,18,6,12,0.444444444444444,86,34
ZhangDY_2015,0.1,0.01,122,47,75,0.526808510638298,86,37
BuschartA_2016,0.1,0.01,53,8,45,0.533333333333333,87,39
VQuintanaL_2024,0.1,0.01,53,21,32,0.852678571428571,87,34
BelstromD_2017,0.1,0.01,20,10,10,0.79,87,38
BostanciN_2021,0.1,0.01,154,126,28,0.546485260770975,87,41
CuiJ_2019,0.1,0.01,128,40,88,0.5625,87,56
LiYJ_2023,0.1,0.01,19,10,9,0.511111111111111,87,46
ZhuJY_2023,0.1,0.01,74,73,1,0.616438356164384,86,50
ZellerG_2014,0.1,0.01,54,21,33,0.545454545454545,87,43
