study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.3,18,6,12,0.652777777777778,52,21
ZhangDY_2015,0.1,0.3,122,47,75,0.535602836879433,47,26
BuschartA_2016,0.1,0.3,53,8,45,0.552777777777778,53,22
VQuintanaL_2024,0.1,0.3,53,21,32,0.787202380952381,53,20
BelstromD_2017,0.1,0.3,20,10,10,0.8,52,22
BostanciN_2021,0.1,0.3,154,126,28,0.589002267573696,55,20
CuiJ_2019,0.1,0.3,128,40,88,0.612784090909091,48,19
LiYJ_2023,0.1,0.3,19,10,9,0.744444444444445,52,24
ZhuJY_2023,0.1,0.3,74,73,1,0.684931506849315,49,27
ZellerG_2014,0.1,0.3,54,21,33,0.489177489177489,52,24
