study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.1,0.2,0.5,43,21,18,6,12,0.166666666666667,0.75,0.458333333333333,,balanced_accuracy,0.458333333333333
ZhangDY_2015,0.1,0.2,0.535602836879433,39,20,122,47,75,0.127659574468085,0.84,0.483829787234043,,balanced_accuracy,0.483829787234043
ChenBY_2023,0.1,0.2,,41,21,56,0,56,,0.946428571428571,,0.946428571428571,single_class_accuracy,0.946428571428571
BuschartA_2016,0.1,0.2,0.616666666666667,43,22,53,8,45,0,0.733333333333333,0.366666666666667,,balanced_accuracy,0.366666666666667
VQuintanaL_2024,0.1,0.2,0.834821428571429,42,20,53,21,32,0.714285714285714,0.75,0.732142857142857,,balanced_accuracy,0.732142857142857
ArmstrongA_2021,0.1,0.2,,43,22,13,13,0,0.0769230769230769,,,0.0769230769230769,single_class_accuracy,0.0769230769230769
BelstromD_2017,0.1,0.2,0.79,43,21,20,10,10,0.2,1,0.6,,balanced_accuracy,0.6
BostanciN_2021,0.1,0.2,0.53968253968254,44,18,154,126,28,0,1,0.5,,balanced_accuracy,0.5
ChenLW_2022,0.1,0.2,,43,28,61,61,0,0.147540983606557,,,0.147540983606557,single_class_accuracy,0.147540983606557
CuiJ_2019,0.1,0.2,0.559375,42,24,128,40,88,0.225,0.818181818181818,0.521590909090909,,balanced_accuracy,0.521590909090909
JiangQ_2021,0.1,0.2,,43,23,21,0,21,,0.904761904761905,,0.904761904761905,single_class_accuracy,0.904761904761905
LiYJ_2023,0.1,0.2,0.588888888888889,43,23,19,10,9,0.1,1,0.55,,balanced_accuracy,0.55
preprint_CastilhosJ_2021,0.1,0.2,,42,24,224,0,224,,0.379464285714286,,0.379464285714286,single_class_accuracy,0.379464285714286
ShaiberA_2020,0.1,0.2,,43,24,35,35,0,0.114285714285714,,,0.114285714285714,single_class_accuracy,0.114285714285714
ZhuJY_2023,0.1,0.2,0.534246575342466,41,22,74,73,1,0.0273972602739726,1,0.513698630136986,,balanced_accuracy,0.513698630136986
ZellerG_2014,0.1,0.2,0.525252525252525,43,27,54,21,33,0.0952380952380952,0.696969696969697,0.396103896103896,,balanced_accuracy,0.396103896103896
