study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.3,18,6,12,0.527777777777778,43,16
ZhangDY_2015,0.5,0.3,122,47,75,0.532198581560284,38,15
BuschartA_2016,0.5,0.3,53,8,45,0.547222222222222,44,17
VQuintanaL_2024,0.5,0.3,53,21,32,0.842261904761905,44,17
BelstromD_2017,0.5,0.3,20,10,10,0.69,43,16
BostanciN_2021,0.5,0.3,154,126,28,0.544784580498866,46,9
CuiJ_2019,0.5,0.3,128,40,88,0.611079545454546,40,16
LiYJ_2023,0.5,0.3,19,10,9,0.588888888888889,43,18
ZhuJY_2023,0.5,0.3,74,73,1,0.602739726027397,40,20
ZellerG_2014,0.5,0.3,54,21,33,0.587301587301587,43,21
