study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.2,18,6,12,0.472222222222222,52,18
ZhangDY_2015,1,0.2,122,47,75,0.558014184397163,49,19
BuschartA_2016,1,0.2,53,8,45,0.580555555555556,52,20
VQuintanaL_2024,1,0.2,53,21,32,0.857142857142857,52,17
BelstromD_2017,1,0.2,20,10,10,0.71,52,16
BostanciN_2021,1,0.2,154,126,28,0.552154195011338,53,9
CuiJ_2019,1,0.2,128,40,88,0.580681818181818,51,18
LiYJ_2023,1,0.2,19,10,9,0.622222222222222,52,22
ZhuJY_2023,1,0.2,74,73,1,0.506849315068493,51,24
ZellerG_2014,1,0.2,54,21,33,0.536796536796537,52,24
