study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.2,18,6,12,0.583333333333333,263,98
ZhangDY_2015,0.1,0.2,122,47,75,0.644822695035461,231,86
BuschartA_2016,0.1,0.2,53,8,45,0.602777777777778,268,96
VQuintanaL_2024,0.1,0.2,53,21,32,0.779761904761905,261,80
BelstromD_2017,0.1,0.2,20,10,10,0.81,266,110
BostanciN_2021,0.1,0.2,154,126,28,0.488945578231293,287,131
CuiJ_2019,0.1,0.2,128,40,88,0.601704545454545,247,91
LiYJ_2023,0.1,0.2,19,10,9,0.655555555555556,260,104
ZhuJY_2023,0.1,0.2,74,73,1,0.876712328767123,241,117
ZellerG_2014,0.1,0.2,54,21,33,0.659451659451659,264,119
