study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,1,0.1,0.583333333333333,413,103,18,6,12,0.333333333333333,0.583333333333333,0.458333333333333,,balanced_accuracy,0.458333333333333
ZhangDY_2015,1,0.1,0.60709219858156,380,111,122,47,75,0.297872340425532,0.8,0.548936170212766,,balanced_accuracy,0.548936170212766
ChenBY_2023,1,0.1,,406,115,56,0,56,,0.607142857142857,,0.607142857142857,single_class_accuracy,0.607142857142857
BuschartA_2016,1,0.1,0.630555555555556,417,112,53,8,45,0.375,0.488888888888889,0.431944444444444,,balanced_accuracy,0.431944444444444
VQuintanaL_2024,1,0.1,0.811011904761905,411,129,53,21,32,0.428571428571429,0.96875,0.698660714285714,,balanced_accuracy,0.698660714285714
ArmstrongA_2021,1,0.1,,413,130,13,13,0,0.384615384615385,,,0.384615384615385,single_class_accuracy,0.384615384615385
BelstromD_2017,1,0.1,0.78,414,123,20,10,10,0.8,0.7,0.75,,balanced_accuracy,0.75
BostanciN_2021,1,0.1,0.534863945578231,432,129,154,126,28,0.30952380952381,0.785714285714286,0.547619047619048,,balanced_accuracy,0.547619047619048
ChenLW_2022,1,0.1,,421,132,61,61,0,0.229508196721311,,,0.229508196721311,single_class_accuracy,0.229508196721311
CuiJ_2019,1,0.1,0.673011363636364,410,126,128,40,88,0.125,0.954545454545455,0.539772727272727,,balanced_accuracy,0.539772727272727
JiangQ_2021,1,0.1,,413,119,21,0,21,,0.523809523809524,,0.523809523809524,single_class_accuracy,0.523809523809524
LiYJ_2023,1,0.1,0.611111111111111,410,121,19,10,9,0.3,0.888888888888889,0.594444444444445,,balanced_accuracy,0.594444444444445
preprint_CastilhosJ_2021,1,0.1,,441,83,224,0,224,,0.424107142857143,,0.424107142857143,single_class_accuracy,0.424107142857143
ShaiberA_2020,1,0.1,,418,125,35,35,0,0.257142857142857,,,0.257142857142857,single_class_accuracy,0.257142857142857
ZhuJY_2023,1,0.1,0.547945205479452,396,132,74,73,1,0.410958904109589,1,0.705479452054795,,balanced_accuracy,0.705479452054795
ZellerG_2014,1,0.1,0.603174603174603,414,85,54,21,33,0.380952380952381,0.666666666666667,0.523809523809524,,balanced_accuracy,0.523809523809524
