study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.05,18,6,12,0.458333333333333,72,34
ZhangDY_2015,0.1,0.05,122,47,75,0.551205673758865,65,39
BuschartA_2016,0.1,0.05,53,8,45,0.541666666666667,73,33
VQuintanaL_2024,0.1,0.05,53,21,32,0.852678571428571,72,29
BelstromD_2017,0.1,0.05,20,10,10,0.79,72,36
BostanciN_2021,0.1,0.05,154,126,28,0.551587301587302,73,36
CuiJ_2019,0.1,0.05,128,40,88,0.567613636363636,72,47
LiYJ_2023,0.1,0.05,19,10,9,0.5,68,40
ZhuJY_2023,0.1,0.05,74,73,1,0.602739726027397,72,43
ZellerG_2014,0.1,0.05,54,21,33,0.54978354978355,72,35
