study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.1,18,6,12,0.486111111111111,51,27
ZhangDY_2015,0.1,0.1,122,47,75,0.470070921985816,48,30
BuschartA_2016,0.1,0.1,53,8,45,0.591666666666667,52,28
VQuintanaL_2024,0.1,0.1,53,21,32,0.848214285714286,51,25
BelstromD_2017,0.1,0.1,20,10,10,0.8,51,30
BostanciN_2021,0.1,0.1,154,126,28,0.561224489795918,52,30
CuiJ_2019,0.1,0.1,128,40,88,0.545170454545455,52,37
LiYJ_2023,0.1,0.1,19,10,9,0.566666666666667,51,29
ZhuJY_2023,0.1,0.1,74,73,1,0.506849315068493,49,29
ZellerG_2014,0.1,0.1,54,21,33,0.558441558441558,51,33
