study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.05,18,6,12,0.5,12,5
ZhangDY_2015,1,0.05,122,47,75,0.529929078014185,11,5
BuschartA_2016,1,0.05,53,8,45,0.472222222222222,12,4
VQuintanaL_2024,1,0.05,53,21,32,0.709821428571429,12,4
BelstromD_2017,1,0.05,20,10,10,0.71,12,5
BostanciN_2021,1,0.05,154,126,28,0.594387755102041,12,7
CuiJ_2019,1,0.05,128,40,88,0.575,12,5
LiYJ_2023,1,0.05,19,10,9,0.811111111111111,12,1
ZhuJY_2023,1,0.05,74,73,1,0.602739726027397,12,4
ZellerG_2014,1,0.05,54,21,33,0.624819624819625,12,3
