study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.05,18,6,12,0.625,509,212
ZhangDY_2015,0.1,0.05,122,47,75,0.611347517730497,474,196
BuschartA_2016,0.1,0.05,53,8,45,0.677777777777778,509,221
VQuintanaL_2024,0.1,0.05,53,21,32,0.824404761904762,509,235
BelstromD_2017,0.1,0.05,20,10,10,0.85,510,224
BostanciN_2021,0.1,0.05,154,126,28,0.518990929705216,525,221
CuiJ_2019,0.1,0.05,128,40,88,0.685227272727273,507,191
LiYJ_2023,0.1,0.05,19,10,9,0.711111111111111,503,249
ZhuJY_2023,0.1,0.05,74,73,1,0.547945205479452,501,245
ZellerG_2014,0.1,0.05,54,21,33,0.636363636363636,511,225
