study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.01,18,6,12,0.513888888888889,14,8
ZhangDY_2015,0.1,0.01,122,47,75,0.563404255319149,14,7
BuschartA_2016,0.1,0.01,53,8,45,0.558333333333333,14,8
VQuintanaL_2024,0.1,0.01,53,21,32,0.529761904761905,14,5
BelstromD_2017,0.1,0.01,20,10,10,0.71,14,7
BostanciN_2021,0.1,0.01,154,126,28,0.573696145124717,14,5
CuiJ_2019,0.1,0.01,128,40,88,0.578977272727273,14,5
LiYJ_2023,0.1,0.01,19,10,9,0.833333333333333,14,3
ZhuJY_2023,0.1,0.01,74,73,1,0.616438356164384,14,6
ZellerG_2014,0.1,0.01,54,21,33,0.544011544011544,14,9
