study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.05,18,6,12,0.625,509,172
ZhangDY_2015,1,0.05,122,47,75,0.596312056737589,474,129
BuschartA_2016,1,0.05,53,8,45,0.652777777777778,509,127
VQuintanaL_2024,1,0.05,53,21,32,0.763392857142857,509,153
BelstromD_2017,1,0.05,20,10,10,0.74,510,168
BostanciN_2021,1,0.05,154,126,28,0.476473922902494,525,111
CuiJ_2019,1,0.05,128,40,88,0.686079545454545,507,141
LiYJ_2023,1,0.05,19,10,9,0.544444444444444,503,149
ZhuJY_2023,1,0.05,74,73,1,0.534246575342466,501,155
ZellerG_2014,1,0.05,54,21,33,0.604617604617605,511,122
