study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.05,18,6,12,0.583333333333333,72,31
ZhangDY_2015,1,0.05,122,47,75,0.546099290780142,65,36
BuschartA_2016,1,0.05,53,8,45,0.586111111111111,73,26
VQuintanaL_2024,1,0.05,53,21,32,0.84375,72,22
BelstromD_2017,1,0.05,20,10,10,0.79,72,32
BostanciN_2021,1,0.05,154,126,28,0.550453514739229,73,23
CuiJ_2019,1,0.05,128,40,88,0.58125,72,46
LiYJ_2023,1,0.05,19,10,9,0.611111111111111,68,38
ZhuJY_2023,1,0.05,74,73,1,0.534246575342466,72,34
ZellerG_2014,1,0.05,54,21,33,0.538239538239538,72,31
