study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.05,18,6,12,0.611111111111111,86,24
ZhangDY_2015,1,0.05,122,47,75,0.572482269503546,77,29
BuschartA_2016,1,0.05,53,8,45,0.533333333333333,88,29
VQuintanaL_2024,1,0.05,53,21,32,0.816964285714286,87,23
BelstromD_2017,1,0.05,20,10,10,0.83,87,34
BostanciN_2021,1,0.05,154,126,28,0.525226757369615,88,24
CuiJ_2019,1,0.05,128,40,88,0.639488636363636,87,41
LiYJ_2023,1,0.05,19,10,9,0.588888888888889,83,38
ZhuJY_2023,1,0.05,74,73,1,0.547945205479452,87,36
ZellerG_2014,1,0.05,54,21,33,0.526695526695527,87,34
