study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.3,18,6,12,0.555555555555556,76,28
ZhangDY_2015,1,0.3,122,47,75,0.519148936170213,63,36
BuschartA_2016,1,0.3,53,8,45,0.594444444444445,76,28
VQuintanaL_2024,1,0.3,53,21,32,0.681547619047619,73,25
BelstromD_2017,1,0.3,20,10,10,0.83,75,25
BostanciN_2021,1,0.3,154,126,28,0.580215419501134,82,14
CuiJ_2019,1,0.3,128,40,88,0.552272727272727,68,26
LiYJ_2023,1,0.3,19,10,9,0.688888888888889,71,24
ZhuJY_2023,1,0.3,74,73,1,0.63013698630137,65,22
ZellerG_2014,1,0.3,54,21,33,0.617604617604618,75,26
