study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.3,18,6,12,0.513888888888889,33,17
ZhangDY_2015,0.1,0.3,122,47,75,0.510070921985816,29,14
BuschartA_2016,0.1,0.3,53,8,45,0.630555555555556,34,17
VQuintanaL_2024,0.1,0.3,53,21,32,0.794642857142857,34,16
BelstromD_2017,0.1,0.3,20,10,10,0.74,33,17
BostanciN_2021,0.1,0.3,154,126,28,0.556689342403628,36,14
CuiJ_2019,0.1,0.3,128,40,88,0.568465909090909,30,14
LiYJ_2023,0.1,0.3,19,10,9,0.666666666666667,33,17
ZhuJY_2023,0.1,0.3,74,73,1,0.589041095890411,30,18
ZellerG_2014,0.1,0.3,54,21,33,0.564213564213564,33,20
