study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.1,0.3,18,6,12,0.486111111111111,177,74
ZhangDY_2015,0.1,0.3,122,47,75,0.624964539007092,149,54
BuschartA_2016,0.1,0.3,53,8,45,0.447222222222222,176,54
VQuintanaL_2024,0.1,0.3,53,21,32,0.764880952380952,172,63
BelstromD_2017,0.1,0.3,20,10,10,0.76,173,65
BostanciN_2021,0.1,0.3,154,126,28,0.496031746031746,204,110
CuiJ_2019,0.1,0.3,128,40,88,0.65625,161,68
LiYJ_2023,0.1,0.3,19,10,9,0.755555555555556,173,66
ZhuJY_2023,0.1,0.3,74,73,1,0.986301369863014,154,85
ZellerG_2014,0.1,0.3,54,21,33,0.682539682539683,175,97
